title,category,publish_date,article_url,sentiment
IHSG Hari Ini Diprediksi Melemah di Level 7.200-7.300,detikFinance,"Kamis, 28 Nov 2024 08:51 WIB",https://finance.detik.com/market-research/d-7660585/ihsg-hari-ini-diprediksi-melemah-di-level-7-200-7-300,negatif
IHSG Hari Ini Diramal Bergerak di Level 7.100-7.200,detikFinance,"Selasa, 19 Nov 2024 08:49 WIB",https://finance.detik.com/bursa-dan-valas/d-7645441/ihsg-hari-ini-diramal-bergerak-di-level-7-100-7-200,negatif
Berapa Harga Saham BBCA Hari Ini?,detikFinance,"Senin, 11 Nov 2024 12:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7632680/berapa-harga-saham-bbca-hari-ini,positif
Masuk Daftar 45 Saham Pre-opening Saham GOTO Makin Likuid?,detikFinance,"Selasa, 29 Okt 2024 08:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7610863/masuk-daftar-45-saham-pre-opening-saham-goto-makin-likuid,negatif
BCA Pemberi Utang Terbesar ke Sritex Respons soal Kondisi Pailit,detikFinance,"Selasa, 29 Okt 2024 07:45 WIB",https://finance.detik.com/moneter/d-7611188/bca-pemberi-utang-terbesar-ke-sritex-respons-soal-kondisi-pailit,negatif
Rincian Utang Bejibun Sritex ke 28 Bank,detikFinance,"Selasa, 29 Okt 2024 07:27 WIB",https://finance.detik.com/moneter/d-7611176/rincian-utang-bejibun-sritex-ke-28-bank,negatif
Bos Buruh Ungkap Sritex Pailit Gara-gara Sulit Bayar Utang,detikFinance,"Kamis, 24 Okt 2024 15:16 WIB",https://finance.detik.com/industri/d-7604507/bos-buruh-ungkap-sritex-pailit-gara-gara-sulit-bayar-utang,negatif
IHSG Pagi Ini Lesu di Level 7.496,detikFinance,"Senin, 07 Okt 2024 09:23 WIB",https://finance.detik.com/bursa-dan-valas/d-7575498/ihsg-pagi-ini-lesu-di-level-7-496,positif
IHSG Diprediksi Menguat Ini Saham yang Bakal Cuan,detikFinance,"Senin, 07 Okt 2024 08:38 WIB",https://finance.detik.com/market-research/d-7575442/ihsg-diprediksi-menguat-ini-saham-yang-bakal-cuan,positif
IHSG Hari Ini Berpotensi Melemah Simak Rekomendasi Sahamnya,detikFinance,"Jumat, 04 Okt 2024 08:45 WIB",https://finance.detik.com/market-research/d-7571308/ihsg-hari-ini-berpotensi-melemah-simak-rekomendasi-sahamnya,negatif
Simak! Rekomendasi Saham Akhir Pekan,detikFinance,"Jumat, 20 Sep 2024 08:53 WIB",https://finance.detik.com/bursa-dan-valas/d-7549103/simak-rekomendasi-saham-akhir-pekan,positif
IHSG Hari Ini Dibuka Menguat ke 7.807,detikFinance,"Jumat, 13 Sep 2024 09:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7538534/ihsg-hari-ini-dibuka-menguat-ke-7-807,positif
Masih Lesu IHSG Dibuka Turun ke Level 7.591,detikFinance,"Rabu, 28 Agu 2024 09:29 WIB",https://finance.detik.com/bursa-dan-valas/d-7512268/masih-lesu-ihsg-dibuka-turun-ke-level-7-591,positif
IHSG Pagi Ini Dibuka Lesu ke Level 7.592,detikFinance,"Selasa, 27 Agu 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7510459/ihsg-pagi-ini-dibuka-lesu-ke-level-7-592,positif
Kemarin Lesu Seharian IHSG Kembali ke Zona Hijau di Level 7.500-an,detikFinance,"Jumat, 23 Agu 2024 09:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7504247/kemarin-lesu-seharian-ihsg-kembali-ke-zona-hijau-di-level-7-500-an,positif
IHSG Dibuka Lesu Turun ke Level 7.400-an,detikFinance,"Kamis, 22 Agu 2024 09:39 WIB",https://finance.detik.com/bursa-dan-valas/d-7502347/ihsg-dibuka-lesu-turun-ke-level-7-400-an,negatif
IHSG Dibuka Naik 035% ke Level 7.382,detikFinance,"Rabu, 14 Agu 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7488806/ihsg-dibuka-naik-0-35-ke-level-7-382,positif
Bikin Mata Seger IHSG Dibuka Menguat Lagi,detikFinance,"Jumat, 09 Agu 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7480879/bikin-mata-seger-ihsg-dibuka-menguat-lagi,negatif
IHSG Dibuka Melemah Lagi Nyaris Tinggalkan Zona 7.200-an,detikFinance,"Kamis, 08 Agu 2024 09:10 WIB",https://finance.detik.com/bursa-dan-valas/d-7479001/ihsg-dibuka-melemah-lagi-nyaris-tinggalkan-zona-7-200-an,positif
Usia Anjlok IHSG Pagi Ini Naik 087% ke Level 7.120,detikFinance,"Selasa, 06 Agu 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7475446/usia-anjlok-ihsg-pagi-ini-naik-0-87-ke-level-7-120,positif
IHSG Bergerak di Zona Merah ke Level 7.313 Simak Rekomendasi Sahamnya,detikFinance,"Jumat, 02 Agu 2024 09:19 WIB",https://finance.detik.com/bursa-dan-valas/d-7469602/ihsg-bergerak-di-zona-merah-ke-level-7-313-simak-rekomendasi-sahamnya,negatif
IHSG Dibuka di Zona Merah,detikFinance,"Selasa, 30 Jul 2024 09:36 WIB",https://finance.detik.com/bursa-dan-valas/d-7463975/ihsg-dibuka-di-zona-merah,negatif
IHSG Dibuka Menguat di Awal Pekan Begini Pergerakannya,detikFinance,"Senin, 29 Jul 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7462035/ihsg-dibuka-menguat-di-awal-pekan-begini-pergerakannya,negatif
IHSG Hijau Seharian 327 Saham Menguat,detikFinance,"Jumat, 26 Jul 2024 17:14 WIB",https://finance.detik.com/bursa-dan-valas/d-7458885/ihsg-hijau-seharian-327-saham-menguat,negatif
Daftar Saham LQ45 Terbaru: Emiten Sandiaga Uno Keluar Jasa Marga Masuk,detikFinance,"Jumat, 26 Jul 2024 13:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7458314/daftar-saham-lq45-terbaru-emiten-sandiaga-uno-keluar-jasa-marga-masuk,negatif
196 Saham Naik IHSG Hari Ini Dibuka Menguat ke 7.263,detikFinance,"Jumat, 26 Jul 2024 09:11 WIB",https://finance.detik.com/bursa-dan-valas/d-7457853/196-saham-naik-ihsg-hari-ini-dibuka-menguat-ke-7-263,negatif
IHSG dan Bursa Asia Kompak di Zona Merah,detikFinance,"Rabu, 24 Jul 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7454225/ihsg-dan-bursa-asia-kompak-di-zona-merah,positif
IHSG Hari Ini Menguat Bursa Asia Bergerak Variatif,detikFinance,"Selasa, 23 Jul 2024 09:33 WIB",https://finance.detik.com/bursa-dan-valas/d-7452378/ihsg-hari-ini-menguat-bursa-asia-bergerak-variatif,positif
IHSG Awal Pekan Dibuka di Zona Hijau,detikFinance,"Senin, 22 Jul 2024 09:36 WIB",https://finance.detik.com/bursa-dan-valas/d-7450530/ihsg-awal-pekan-dibuka-di-zona-hijau,positif
Akhir Pekan IHSG Dibuka Lesu,detikFinance,"Jumat, 19 Jul 2024 09:19 WIB",https://finance.detik.com/bursa-dan-valas/d-7446308/akhir-pekan-ihsg-dibuka-lesu,positif
IHSG Dibuka di Zona Hijau Naik 067% ke 7.349,detikFinance,"Jumat, 12 Jul 2024 09:14 WIB",https://finance.detik.com/bursa-dan-valas/d-7435036/ihsg-dibuka-di-zona-hijau-naik-0-67-ke-7-349,positif
IHSG Diprediksi Melemah Simak Rekomendasi Sahamnya,detikFinance,"Jumat, 12 Jul 2024 08:24 WIB",https://finance.detik.com/bursa-dan-valas/d-7434997/ihsg-diprediksi-melemah-simak-rekomendasi-sahamnya,positif
IHSG Pagi Ini Dibuka di Zona Hijau ke Level 7.277,detikFinance,"Rabu, 10 Jul 2024 09:21 WIB",https://finance.detik.com/bursa-dan-valas/d-7431463/ihsg-pagi-ini-dibuka-di-zona-hijau-ke-level-7-277,negatif
IHSG Senin Pagi Bergerak di Zona Merah ke Level 7.242,detikFinance,"Senin, 08 Jul 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7427805/ihsg-senin-pagi-bergerak-di-zona-merah-ke-level-7-242,positif
IHSG Diprediksi Menguat Simak Sentimen Domestik dan Global,detikFinance,"Senin, 08 Jul 2024 08:44 WIB",https://finance.detik.com/bursa-dan-valas/d-7427777/ihsg-diprediksi-menguat-simak-sentimen-domestik-dan-global,positif
Awal Pekan IHSG Dibuka di Zona Hijau,detikFinance,"Senin, 24 Jun 2024 09:21 WIB",https://finance.detik.com/bursa-dan-valas/d-7405202/awal-pekan-ihsg-dibuka-di-zona-hijau,positif
Usai Libur Panjang IHSG Hari Ini Diprediksi Melemah,detikFinance,"Rabu, 19 Jun 2024 08:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7396986/usai-libur-panjang-ihsg-hari-ini-diprediksi-melemah,positif
Top! Jumlah Investor BBRI Naik Signifikan dalam 4 Bulan Terakhir,detikFinance,"Kamis, 13 Jun 2024 17:07 WIB",https://finance.detik.com/bursa-dan-valas/d-7389609/top-jumlah-investor-bbri-naik-signifikan-dalam-4-bulan-terakhir,negatif
Ada 'Diskon' Harga Saham Jumlah Investor BBRI Tembus Setengah Juta,detikFinance,"Kamis, 13 Jun 2024 16:18 WIB",https://finance.detik.com/bursa-dan-valas/d-7389445/ada-diskon-harga-saham-jumlah-investor-bbri-tembus-setengah-juta,negatif
IHSG Dibuka di Zona Hijau Diramal Mantul Hari Ini,detikFinance,"Kamis, 13 Jun 2024 09:11 WIB",https://finance.detik.com/bursa-dan-valas/d-7388556/ihsg-dibuka-di-zona-hijau-diramal-mantul-hari-ini,negatif
IHSG Rabu Pagi Bergerak ke Zona Merah di Level 6.851,detikFinance,"Rabu, 12 Jun 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7386716/ihsg-rabu-pagi-bergerak-ke-zona-merah-di-level-6-851,negatif
Awal Pekan IHSG Dibuka ke Level 6.897,detikFinance,"Senin, 10 Jun 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7382861/awal-pekan-ihsg-dibuka-ke-level-6-897,negatif
IHSG Ditutup Melemah Tinggalkan Level 7.000!,detikFinance,"Rabu, 05 Jun 2024 16:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7375780/ihsg-ditutup-melemah-tinggalkan-level-7-000,negatif
IHSG Dibuka Menguat tapi Tak Lama Melempem ke Zona Merah,detikFinance,"Rabu, 05 Jun 2024 09:18 WIB",https://finance.detik.com/bursa-dan-valas/d-7374726/ihsg-dibuka-menguat-tapi-tak-lama-melempem-ke-zona-merah,negatif
Obligasi Pemerintah Disebut Investasi Paling Aman Ini Alasannya,detikFinance,"Kamis, 30 Mei  2024 10:31 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7364778/obligasi-pemerintah-disebut-investasi-paling-aman-ini-alasannya,positif
IHSG Selasa Pagi Dibuka ke Level 7.099,detikFinance,"Selasa, 14 Mei  2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7338715/ihsg-selasa-pagi-dibuka-ke-level-7-099,positif
Awal Pekan IHSG Bergerak di Zona Merah ke 7.069,detikFinance,"Senin, 13 Mei  2024 09:19 WIB",https://finance.detik.com/bursa-dan-valas/d-7336774/awal-pekan-ihsg-bergerak-di-zona-merah-ke-7-069,positif
Akhir Pekan IHSG Masih Betah di Zona Merah,detikFinance,"Jumat, 26 Apr 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7311311/akhir-pekan-ihsg-masih-betah-di-zona-merah,positif
Kompak Dengan Bursa Asia IHSG Mengawali Pekan Dengan Penguatan,detikFinance,"Senin, 22 Apr 2024 09:17 WIB",https://finance.detik.com/bursa-dan-valas/d-7303730/kompak-dengan-bursa-asia-ihsg-mengawali-pekan-dengan-penguatan,positif
Jelang Akhir Pekan IHSG Dibuka Turun ke Level 7.166,detikFinance,"Jumat, 19 Apr 2024 09:10 WIB",https://finance.detik.com/bursa-dan-valas/d-7299479/jelang-akhir-pekan-ihsg-dibuka-turun-ke-level-7-166,positif
IHSG Pagi Ini Dibuka di Level 7.166,detikFinance,"Kamis, 04 Apr 2024 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-7277498/ihsg-pagi-ini-dibuka-di-level-7-166,negatif
Alhamdulillah IHSG Hari Ini di Zona Hijau!,detikFinance,"Rabu, 27 Mar 2024 09:23 WIB",https://finance.detik.com/bursa-dan-valas/d-7263649/alhamdulillah-ihsg-hari-ini-di-zona-hijau,negatif
Duh IHSG Masih Loyo Terus Nih,detikFinance,"Selasa, 26 Mar 2024 09:12 WIB",https://finance.detik.com/bursa-dan-valas/d-7261675/duh-ihsg-masih-loyo-terus-nih,positif
IHSG Diprediksi Terkoreksi di 7.280-7.338 Analis Rekomendasi Saham Ini,detikFinance,"Selasa, 19 Mar 2024 08:20 WIB",https://finance.detik.com/bursa-dan-valas/d-7249092/ihsg-diprediksi-terkoreksi-di-7-280-7-338-analis-rekomendasi-saham-ini,negatif
IHSG Kembali Dibuka Menguat ke 7.341 Menguat 015%,detikFinance,"Kamis, 07 Mar 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7229359/ihsg-kembali-dibuka-menguat-ke-7-341-menguat-0-15,positif
Simak! Saham Pilihan buat Akhir Pekan,detikFinance,"Jumat, 01 Mar 2024 09:02 WIB",https://finance.detik.com/bursa-dan-valas/d-7219381/simak-saham-pilihan-buat-akhir-pekan,negatif
Daftar 6 Bank dengan Aset Terbesar RI BSI Balap CIMB Niaga,detikFinance,"Jumat, 23 Feb 2024 14:11 WIB",https://finance.detik.com/moneter/d-7208042/daftar-6-bank-dengan-aset-terbesar-ri-bsi-balap-cimb-niaga,negatif
Analis Pasar Modal Prediksi Saham BRIS Bisa Tembus Rp 2.700,detikFinance,"Kamis, 22 Feb 2024 12:41 WIB",https://finance.detik.com/bursa-dan-valas/d-7206021/analis-pasar-modal-prediksi-saham-bris-bisa-tembus-rp-2-700,negatif
Pajak 100 Orang Terkaya RI Mau 'Dipelototi' Anies Ini Daftar Namanya,detikFinance,"Kamis, 28 Des 2023 07:30 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7111994/pajak-100-orang-terkaya-ri-mau-dipelototi-anies-ini-daftar-namanya,positif
Anies Mau 'Pelototi' Pajak 100 Orang Terkaya RI Ini Daftar Namanya,detikFinance,"Rabu, 27 Des 2023 15:38 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7111109/anies-mau-pelototi-pajak-100-orang-terkaya-ri-ini-daftar-namanya,positif
Deretan Emiten Saham di Lingkaran Koalisi Capres-Cawapres,detikFinance,"Senin, 04 Des 2023 06:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7070296/deretan-emiten-saham-di-lingkaran-koalisi-capres-cawapres,negatif
Emiten Saham di Lingkaran Capres-Cawapres Ada Dampaknya?,detikFinance,"Minggu, 03 Des 2023 22:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7070077/emiten-saham-di-lingkaran-capres-cawapres-ada-dampaknya,negatif
Blue Chip,detikFinance,"Kamis, 02 Nov 2023 12:20 WIB",https://finance.detik.com/kamus/blue-chip-d-7015269,positif
Buruan Cek! Rekening BCA dengan Saldo Segini Ditutup Hari Ini,detikFinance,"Rabu, 01 Nov 2023 06:25 WIB",https://finance.detik.com/moneter/d-7012368/buruan-cek-rekening-bca-dengan-saldo-segini-ditutup-hari-ini,positif
BCA Borong 71.500 ton CO2 di Bursa Karbon Indonesia,detikFinance,"Jumat, 20 Okt 2023 14:52 WIB",https://finance.detik.com/bursa-dan-valas/d-6992953/bca-borong-71-500-ton-co2-di-bursa-karbon-indonesia,positif
Bursa Asia Mayoritas Melemah IHSG Hari Ini Dibuka di Dua Arah,detikFinance,"Rabu, 18 Okt 2023 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-6988121/bursa-asia-mayoritas-melemah-ihsg-hari-ini-dibuka-di-dua-arah,negatif
Saham Apa yang Bisa Jadi Pilihan Hari Ini? Nih Daftarnya,detikFinance,"Rabu, 18 Okt 2023 08:40 WIB",https://finance.detik.com/bursa-dan-valas/d-6988067/saham-apa-yang-bisa-jadi-pilihan-hari-ini-nih-daftarnya,negatif
Simak Saham-saham Pilihan Hari Ini Mana yang Bisa Kasih Cuan?,detikFinance,"Kamis, 12 Okt 2023 08:35 WIB",https://finance.detik.com/bursa-dan-valas/d-6977914/simak-saham-saham-pilihan-hari-ini-mana-yang-bisa-kasih-cuan,positif
IHSG Hari Ini Dibuka di Zona Hijau,detikFinance,"Kamis, 05 Okt 2023 09:16 WIB",https://finance.detik.com/bursa-dan-valas/d-6965866/ihsg-hari-ini-dibuka-di-zona-hijau,negatif
Catat! BCA Tutup Rekening dengan Saldo Rp 0 Mulai 1 November 2023,detikFinance,"Jumat, 29 Sep 2023 08:45 WIB",https://finance.detik.com/moneter/d-6955686/catat-bca-tutup-rekening-dengan-saldo-rp-0-mulai-1-november-2023,positif
Pengin Cuan Tambahan? Simak Dulu Saham-saham Ini,detikFinance,"Rabu, 20 Sep 2023 08:36 WIB",https://finance.detik.com/bursa-dan-valas/d-6940505/pengin-cuan-tambahan-simak-dulu-saham-saham-ini,negatif
Simak Saham-saham Pilihan yang Berpotensi Kasih Cuan,detikFinance,"Selasa, 19 Sep 2023 08:42 WIB",https://finance.detik.com/bursa-dan-valas/d-6938539/simak-saham-saham-pilihan-yang-berpotensi-kasih-cuan,positif
IHSG Hari Ini Menguat Makin Dekat ke 7.000,detikFinance,"Senin, 18 Sep 2023 09:06 WIB",https://finance.detik.com/bursa-dan-valas/d-6936657/ihsg-hari-ini-menguat-makin-dekat-ke-7-000,positif
Bagaimana Pergerakan Harga Saham Awal Pekan?,detikFinance,"Senin, 18 Sep 2023 08:55 WIB",https://finance.detik.com/bursa-dan-valas/d-6936637/bagaimana-pergerakan-harga-saham-awal-pekan,positif
IHSG Diprediksi Bergerak ke 6.954 Simak Rekomendasi Saham Hari Ini,detikFinance,"Kamis, 14 Sep 2023 08:38 WIB",https://finance.detik.com/bursa-dan-valas/d-6930173/ihsg-diprediksi-bergerak-ke-6-954-simak-rekomendasi-saham-hari-ini,positif
IHSG Hari Ini Dibuka di Zona Merah,detikFinance,"Rabu, 13 Sep 2023 09:32 WIB",https://finance.detik.com/bursa-dan-valas/d-6928218/ihsg-hari-ini-dibuka-di-zona-merah,negatif
IHSG Masih Merah di Perdagangan Awal Pekan,detikFinance,"Senin, 11 Sep 2023 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-6924226/ihsg-masih-merah-di-perdagangan-awal-pekan,positif
Akhir Pekan IHSG Sempat Dibuka Hijau Eh Merah Lagi,detikFinance,"Jumat, 08 Sep 2023 09:28 WIB",https://finance.detik.com/bursa-dan-valas/d-6919830/akhir-pekan-ihsg-sempat-dibuka-hijau-eh-merah-lagi,positif
IHSG Dibuka Hijau Mendekati Level 7.000,detikFinance,"Rabu, 30 Agu 2023 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-6903067/ihsg-dibuka-hijau-mendekati-level-7-000,negatif
IHSG Dibuka ke Level 6.921 Bursa Asia Serentak Hijau,detikFinance,"Selasa, 29 Agu 2023 09:42 WIB",https://finance.detik.com/bursa-dan-valas/d-6901202/ihsg-dibuka-ke-level-6-921-bursa-asia-serentak-hijau,negatif
IHSG Pagi Ini Dibuka Menguat ke 6.895 Bursa Asia Melesat,detikFinance,"Senin, 28 Agu 2023 09:50 WIB",https://finance.detik.com/bursa-dan-valas/d-6899088/ihsg-pagi-ini-dibuka-menguat-ke-6-895-bursa-asia-melesat,negatif
IHSG Dibuka Merah ke 6.894 Turun 007%,detikFinance,"Jumat, 25 Agu 2023 09:08 WIB",https://finance.detik.com/bursa-dan-valas/d-6894695/ihsg-dibuka-merah-ke-6-894-turun-0-07,positif
IHSG Pagi Ini Dibuka Merah di 6.919 Turun 002%,detikFinance,"Kamis, 24 Agu 2023 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-6892718/ihsg-pagi-ini-dibuka-merah-di-6-919-turun-0-02,negatif
3 Fakta Bos BCA Kasih Hadiah Saham Rp 74 Miliar ke Anaknya,detikFinance,"Selasa, 22 Agu 2023 06:30 WIB",https://finance.detik.com/bursa-dan-valas/d-6888586/3-fakta-bos-bca-kasih-hadiah-saham-rp-74-miliar-ke-anaknya,positif
Sisa Kepemilikan Saham Bos BCA Usai Beri Hadiah Senilai Rp 74 M ke Anaknya,detikFinance,"Senin, 21 Agu 2023 14:04 WIB",https://finance.detik.com/bursa-dan-valas/d-6887607/sisa-kepemilikan-saham-bos-bca-usai-beri-hadiah-senilai-rp-74-m-ke-anaknya,negatif
Bos BCA Beri Hadiah Saham buat Dua Anaknya Senilai Rp 74 Miliar!,detikFinance,"Senin, 21 Agu 2023 11:09 WIB",https://finance.detik.com/bursa-dan-valas/d-6887169/bos-bca-beri-hadiah-saham-buat-dua-anaknya-senilai-rp-74-miliar,negatif
IHSG Sempat Dibuka Melemah Lalu Balik Arah Menguat!,detikFinance,"Selasa, 15 Agu 2023 09:31 WIB",https://finance.detik.com/bursa-dan-valas/d-6876898/ihsg-sempat-dibuka-melemah-lalu-balik-arah-menguat,negatif
Lanjutkan Pelemahan IHSG Pagi Ini Dibuka Melemah di 6.875,detikFinance,"Rabu, 02 Agu 2023 09:09 WIB",https://finance.detik.com/bursa-dan-valas/d-6854176/lanjutkan-pelemahan-ihsg-pagi-ini-dibuka-melemah-di-6-875,positif
Seharian Merah IHSG Ditutup Melemah 065% ke Level 6.886,detikFinance,"Selasa, 01 Agu 2023 16:35 WIB",https://finance.detik.com/bursa-dan-valas/d-6853228/seharian-merah-ihsg-ditutup-melemah-0-65-ke-level-6-886,negatif
Bahana Prediksi IHSG Tembus 7.200 Sampai Akhir 2023,detikFinance,"Selasa, 01 Agu 2023 15:55 WIB",https://finance.detik.com/bursa-dan-valas/d-6853107/bahana-prediksi-ihsg-tembus-7-200-sampai-akhir-2023,negatif
IHSG Selasa Pagi Dibuka Melemah ke Level 6.915,detikFinance,"Selasa, 01 Agu 2023 09:14 WIB",https://finance.detik.com/bursa-dan-valas/d-6852175/ihsg-selasa-pagi-dibuka-melemah-ke-level-6-915,negatif
Laba BCA Naik 34% Tembus Rp 242 T Selama 6 Bulan 2023,detikFinance,"Senin, 24 Jul 2023 16:36 WIB",https://finance.detik.com/bursa-dan-valas/d-6839005/laba-bca-naik-34-tembus-rp-24-2-t-selama-6-bulan-2023,positif
IHSG Pagi Ini Dibuka Menguat 31 Poin ke Level 6.898,detikFinance,"Selasa, 18 Jul 2023 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-6828400/ihsg-pagi-ini-dibuka-menguat-31-poin-ke-level-6-898,negatif
IHSG Pagi Ini Dibuka Merah Turun 012%,detikFinance,"Senin, 19 Jun 2023 09:19 WIB",https://finance.detik.com/bursa-dan-valas/d-6780140/ihsg-pagi-ini-dibuka-merah-turun-0-12,positif
IHSG Pagi Ini Dibuka Menguat Tipis di 6.719,detikFinance,"Jumat, 16 Jun 2023 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-6775613/ihsg-pagi-ini-dibuka-menguat-tipis-di-6-719,negatif
IHSG Dibuka di Dua Arah Bursa Asia 'Kebakaran',detikFinance,"Rabu, 24 Mei  2023 09:04 WIB",https://finance.detik.com/bursa-dan-valas/d-6735570/ihsg-dibuka-di-dua-arah-bursa-asia-kebakaran,negatif
Tiket Coldplay Mulai Dijual Saham BCA Merangkak Naik!,detikFinance,"Rabu, 17 Mei  2023 14:56 WIB",https://finance.detik.com/bursa-dan-valas/d-6725142/tiket-coldplay-mulai-dijual-saham-bca-merangkak-naik,positif
Geger Krisis Perbankan di AS Investasi Apa yang Aman?,detikFinance,"Senin, 08 Mei  2023 06:30 WIB",https://finance.detik.com/portofolio/d-6708659/geger-krisis-perbankan-di-as-investasi-apa-yang-aman,negatif
IHSG Dibuka Hijau Senada dengan Bursa Asia,detikFinance,"Jumat, 17 Mar 2023 09:04 WIB",https://finance.detik.com/bursa-dan-valas/d-6623778/ihsg-dibuka-hijau-senada-dengan-bursa-asia,positif
Belum Mampu Rebound IHSG Masih Melemah,detikFinance,"Kamis, 16 Mar 2023 09:06 WIB",https://finance.detik.com/bursa-dan-valas/d-6621701/belum-mampu-rebound-ihsg-masih-melemah,positif
IHSG Babak Belur Dihantam Efek Bank Silicon Valley Bagaimana Proyeksinya?,detikFinance,"Selasa, 14 Mar 2023 18:00 WIB",https://finance.detik.com/bursa-dan-valas/d-6618716/ihsg-babak-belur-dihantam-efek-bank-silicon-valley-bagaimana-proyeksinya,negatif
Efek Bank Silicon Valley Bangkrut Saham Perbankan-Teknologi Amsyong,detikFinance,"Selasa, 14 Mar 2023 14:27 WIB",https://finance.detik.com/bursa-dan-valas/d-6618255/efek-bank-silicon-valley-bangkrut-saham-perbankan-teknologi-amsyong,negatif
Ada Waran Terstruktur Baru di BEI Ini Keuntungannya,detikFinance,"Senin, 13 Feb 2023 13:18 WIB",https://finance.detik.com/bursa-dan-valas/d-6566653/ada-waran-terstruktur-baru-di-bei-ini-keuntungannya,negatif
